Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
       4608       5000      0.578       0.57      0.551      0.157s
       4624       5000      0.579       0.57      0.551      0.175s
       4640       5000      0.579       0.57      0.552      0.183s
       4656       5000      0.579       0.57      0.552      0.219s
       4672       5000      0.578       0.57      0.551      0.172s
       4688       5000      0.579       0.57      0.552      0.188s
       4704       5000      0.578      0.569      0.551      0.182s
       4720       5000      0.578       0.57      0.551       0.17s
       4736       5000      0.578       0.57      0.551       0.18s
       4752       5000      0.578      0.569      0.551      0.179s
       4768       5000      0.578      0.569      0.551       0.18s
       4784       5000      0.578      0.569      0.551      0.177s
       4800       5000      0.578       0.57      0.551      0.161s
       4816       5000      0.578      0.569      0.551      0.167s
       4832       5000      0.578      0.569      0.551      0.178s
       4848       5000      0.579       0.57      0.552      0.186s
       4864       5000      0.579       0.57      0.552      0.181s
       4880       5000      0.579       0.57      0.552       0.16s
       4896       5000      0.579       0.57      0.552       0.22s
       4912       5000      0.578       0.57      0.552      0.206s
       4928       5000      0.578       0.57      0.552       0.19s
       4944       5000      0.579       0.57      0.552      0.178s
       4960       5000      0.579       0.57      0.552        0.2s
       4976       5000      0.579       0.57      0.552      0.195s
       4992       5000      0.579       0.57      0.552      0.197s
       5000       5000      0.579       0.57      0.552      0.104s
Just pruned with prune_perc=30.0, now has 29.866345702343708% zeros
Retraining at prune percentage 30.0..
   Epoch       Batch        xy        wh      conf       cls     total  nTargets      time
     0/2      0/7328     0.133     0.127     0.828    0.0515      1.14        76      1.02
     0/2      1/7328     0.134     0.145      1.11     0.108       1.5       141      1.09
     0/2      2/7328     0.133     0.158      1.36     0.112      1.76       132      1.07
     0/2      3/7328     0.126     0.144       1.3     0.108      1.67        87      1.09
     0/2      4/7328     0.125     0.148      1.26     0.108      1.64       105       1.1
     0/2      5/7328     0.123     0.151      1.31     0.108      1.69       143      1.14
     0/2      6/7328     0.125     0.157      1.29     0.119      1.69       106      1.01
     0/2      7/7328     0.125     0.152      1.29     0.114      1.68        85      1.05
     0/2      8/7328     0.125     0.148      1.29     0.112      1.67        88     0.943
     0/2      9/7328     0.124     0.152      1.29     0.134       1.7       123      1.13
     0/2     10/7328     0.124      0.15      1.31     0.139      1.72       109      1.16
     0/2     11/7328     0.122     0.149      1.28     0.138      1.69       104      1.07
     0/2     12/7328     0.121     0.151      1.27     0.135      1.68       111     0.921
     0/2     13/7328     0.121      0.15      1.25     0.143      1.67        69     0.949
     0/2     14/7328     0.122     0.151       1.3     0.152      1.72       148      1.01
     0/2     15/7328     0.122      0.15      1.31      0.15      1.73       121      1.09
     0/2     16/7328     0.121     0.153      1.31     0.156      1.74       142     0.909
     0/2     17/7328     0.121     0.153      1.31     0.157      1.74       116     0.991
     0/2     18/7328     0.121     0.157       1.3     0.157      1.73       145     0.982
     0/2     19/7328     0.119     0.155      1.28     0.155      1.71        96      1.04
     0/2     20/7328     0.119     0.154      1.33     0.154      1.75       156      1.17
     0/2     21/7328     0.118     0.152       1.3     0.155      1.73       101      1.04
     0/2     22/7328     0.119     0.154      1.32     0.157      1.75       157      1.15
     0/2     23/7328     0.119     0.154      1.37     0.157       1.8       191      1.01
     0/2     24/7328     0.119     0.155      1.41     0.154      1.83       193      1.06
     0/2     25/7328     0.118     0.154       1.4     0.152      1.82       103     0.978
     0/2     26/7328     0.118     0.153       1.4     0.152      1.82       131      1.36
     0/2     27/7328     0.118     0.152       1.4     0.155      1.82        94     0.944
     0/2     28/7328     0.118     0.152      1.39     0.154      1.82        90      1.15
     0/2     29/7328     0.117     0.152      1.39     0.152      1.81       160     0.958
     0/2     30/7328     0.117     0.151       1.4     0.154      1.82       118     0.982
