Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
       3776       5000       0.63      0.602      0.592      0.177s
       3792       5000       0.63      0.602      0.592      0.164s
       3808       5000       0.63      0.602      0.593      0.155s
       3824       5000       0.63      0.601      0.592      0.163s
       3840       5000       0.63      0.602      0.592      0.171s
       3856       5000       0.63      0.602      0.592      0.178s
       3872       5000      0.629      0.601      0.592      0.168s
       3888       5000      0.629      0.601      0.592      0.197s
       3904       5000      0.629      0.601      0.591      0.198s
       3920       5000      0.629      0.601      0.591      0.157s
       3936       5000      0.629      0.601      0.591       0.19s
       3952       5000      0.629        0.6      0.591      0.172s
       3968       5000      0.629        0.6       0.59      0.176s
       3984       5000      0.628        0.6       0.59      0.173s
       4000       5000      0.628        0.6       0.59      0.168s
       4016       5000      0.628        0.6       0.59      0.176s
       4032       5000      0.629        0.6       0.59      0.197s
       4048       5000      0.629        0.6       0.59      0.164s
       4064       5000      0.628      0.599       0.59      0.195s
       4080       5000      0.628      0.599       0.59      0.183s
       4096       5000      0.629      0.599       0.59      0.171s
       4112       5000      0.629      0.599       0.59      0.168s
       4128       5000      0.629        0.6       0.59      0.167s
       4144       5000      0.628      0.599       0.59      0.177s
       4160       5000      0.628      0.599       0.59      0.146s
       4176       5000      0.628      0.598      0.589       0.19s
       4192       5000      0.628      0.598      0.589      0.173s
       4208       5000      0.628      0.598      0.589       0.16s
       4224       5000      0.628      0.598      0.589      0.197s
       4240       5000      0.628      0.599      0.589      0.169s
       4256       5000      0.628      0.599      0.589      0.185s
       4272       5000      0.628      0.599       0.59      0.173s
       4288       5000      0.629        0.6       0.59      0.161s
       4304       5000      0.629        0.6       0.59      0.184s
       4320       5000      0.629        0.6       0.59      0.173s
       4336       5000       0.63        0.6       0.59      0.167s
       4352       5000       0.63        0.6      0.591      0.179s
       4368       5000       0.63        0.6      0.591      0.214s
       4384       5000       0.63        0.6      0.591      0.189s
       4400       5000       0.63        0.6      0.591      0.178s
       4416       5000       0.63      0.601      0.591      0.155s
       4432       5000       0.63      0.601      0.591      0.167s
       4448       5000       0.63        0.6      0.591      0.179s
       4464       5000       0.63        0.6      0.591      0.181s
       4480       5000       0.63      0.601      0.591      0.184s
       4496       5000       0.63      0.601      0.591      0.178s
       4512       5000       0.63      0.601      0.591        0.2s
       4528       5000       0.63      0.601      0.591       0.22s
       4544       5000       0.63        0.6      0.591       0.17s
       4560       5000       0.63      0.601      0.591      0.171s
       4576       5000       0.63        0.6      0.591      0.173s
       4592       5000       0.63        0.6      0.591      0.206s
       4608       5000       0.63        0.6      0.591       0.15s
       4624       5000       0.63        0.6      0.591       0.17s
       4640       5000       0.63      0.601      0.591      0.175s
       4656       5000       0.63        0.6       0.59      0.207s
       4672       5000       0.63        0.6       0.59      0.171s
       4688       5000       0.63        0.6      0.591      0.183s
       4704       5000       0.63        0.6       0.59      0.185s
       4720       5000       0.63        0.6      0.591      0.162s
       4736       5000       0.63        0.6      0.591      0.183s
       4752       5000       0.63        0.6       0.59      0.185s
       4768       5000       0.63        0.6       0.59      0.174s
       4784       5000       0.63        0.6       0.59      0.178s
       4800       5000       0.63      0.601      0.591      0.164s
       4816       5000       0.63        0.6      0.591      0.161s
       4832       5000       0.63        0.6      0.591      0.177s
       4848       5000       0.63      0.601      0.591      0.185s
       4864       5000       0.63      0.601      0.591      0.176s
       4880       5000       0.63      0.601      0.591      0.162s
       4896       5000       0.63      0.601      0.591      0.213s
       4912       5000       0.63        0.6       0.59      0.196s
       4928       5000       0.63        0.6      0.591      0.183s
       4944       5000       0.63        0.6      0.591      0.172s
